End date,"2/25/2017"
Specimen label,"1BG_6"
"0.36000","0.03007","0.00053"
"0.36600","0.03061","0.00044"
"0.37200","0.03115","0.00056"
"0.37800","0.03169","0.00073"
"0.38400","0.03223","0.00075"
"0.39000","0.03270","0.00072"
"0.39600","0.03324","0.00078"
"0.40200","0.03378","0.00083"
"0.40800","0.03426","0.00081"
"0.41400","0.03480","0.00083"
"0.42000","0.03528","0.00071"
"0.42600","0.03581","0.00068"
"0.43200","0.03629","0.00067"
"0.43800","0.03683","0.00066"
"0.44400","0.03731","0.00068"
"0.45000","0.03779","0.00071"
"0.45600","0.03827","0.00068"
"0.46200","0.03880","0.00067"
"0.46800","0.03928","0.00076"
"0.47400","0.03976","0.00085"
"0.48000","0.04024","0.00097"
"0.48600","0.04078","0.00102"
"0.49200","0.04125","0.00101"
"0.49800","0.04179","0.00098"
"0.50400","0.04227","0.00107"
"0.51000","0.04281","0.00113"
"0.51600","0.04329","0.00119"
"0.52200","0.04377","0.00127"
"0.52800","0.04430","0.00124"
"0.53400","0.04478","0.00118"
"0.54000","0.04526","0.00121"
"0.54600","0.04574","0.00124"
"0.55200","0.04628","0.00128"
"0.55800","0.04676","0.00130"
"0.56400","0.04723","0.00125"
"0.57000","0.04777","0.00129"
"0.57600","0.04825","0.00133"
"0.58200","0.04873","0.00139"
"0.58800","0.04921","0.00155"
"0.59400","0.04974","0.00169"
"0.60000","0.05022","0.00168"
"0.60600","0.05070","0.00156"
"0.61200","0.05118","0.00136"
"0.61800","0.05172","0.00117"
"0.62400","0.05220","0.00106"
"0.63000","0.05267","0.00111"
"0.63600","0.05321","0.00119"
"0.64200","0.05369","0.00116"
"0.64800","0.05423","0.00104"
"0.65400","0.05471","0.00090"
"0.66000","0.05525","0.00079"
"0.66600","0.05572","0.00070"
"0.67200","0.05626","0.00074"
"0.67800","0.05674","0.00077"
"0.68400","0.05722","0.00083"
"0.69000","0.05770","0.00092"
"0.69600","0.05824","0.00095"
"0.70200","0.05871","0.00098"
"0.70800","0.05925","0.00099"
"0.71400","0.05973","0.00103"
"0.72000","0.06021","0.00110"
"0.72600","0.06075","0.00110"
"0.73200","0.06122","0.00119"
"0.73800","0.06170","0.00122"
"0.74400","0.06224","0.00108"
"0.75000","0.06272","0.00091"
"0.75600","0.06320","0.00081"
"0.76200","0.06374","0.00075"
"0.76800","0.06421","0.00075"
"0.77400","0.06469","0.00068"
"0.78000","0.06523","0.00067"
"0.78600","0.06577","0.00059"
"0.79200","0.06625","0.00060"
"0.79800","0.06678","0.00082"
"0.80400","0.06726","0.00118"
"0.81000","0.06774","0.00144"
"0.81600","0.06828","0.00160"
"0.82200","0.06876","0.00164"
"0.82800","0.06924","0.00150"
"0.83400","0.06971","0.00133"
"0.84000","0.07025","0.00131"
"0.84600","0.07073","0.00136"
"0.85200","0.07121","0.00137"
"0.85800","0.07175","0.00137"
"0.86400","0.07223","0.00133"
"0.87000","0.07270","0.00124"
"0.87600","0.07324","0.00111"
"0.88200","0.07372","0.00101"
"0.88800","0.07426","0.00102"
"0.89400","0.07474","0.00109"
"0.90000","0.07522","0.00116"
"0.90600","0.07569","0.00120"
"0.91200","0.07623","0.00126"
"0.91800","0.07671","0.00134"
"0.92400","0.07725","0.00143"
"0.93000","0.07773","0.00152"
"0.93600","0.07820","0.00147"
"0.94200","0.07874","0.00135"
"0.94800","0.07922","0.00123"
"0.95400","0.07970","0.00114"
"0.96000","0.08024","0.00117"
"0.96600","0.08072","0.00135"
"0.97200","0.08125","0.00155"
"0.97800","0.08173","0.00175"
"0.98400","0.08221","0.00188"
"0.99000","0.08275","0.00188"
"0.99600","0.08323","0.00173"
"1.00200","0.08371","0.00147"
"1.00800","0.08424","0.00116"
"1.01400","0.08472","0.00102"
"1.02000","0.08520","0.00109"
"1.02600","0.08574","0.00119"
"1.03200","0.08622","0.00129"
"1.03800","0.08669","0.00141"
"1.04400","0.08723","0.00141"
"1.05000","0.08771","0.00126"
"1.05600","0.08819","0.00114"
"1.06200","0.08867","0.00112"
"1.06800","0.08921","0.00113"
"1.07400","0.08968","0.00119"
"1.08000","0.09022","0.00123"
"1.08600","0.09070","0.00120"
"1.09200","0.09124","0.00118"
"1.09800","0.09172","0.00118"
"1.10400","0.09220","0.00115"
"1.11000","0.09273","0.00121"
"1.11600","0.09321","0.00131"
"1.12200","0.09369","0.00148"
"1.12800","0.09423","0.00153"
"1.13400","0.09471","0.00157"
"1.14000","0.09518","0.00166"
"1.14600","0.09572","0.00179"
"1.15200","0.09620","0.00180"
"1.15800","0.09668","0.00176"
"1.16400","0.09722","0.00169"
"1.17000","0.09770","0.00160"
"1.17600","0.09817","0.00150"
"1.18200","0.09871","0.00135"
"1.18800","0.09919","0.00133"
"1.19400","0.09967","0.00134"
"1.20000","0.10021","0.00139"
"1.20600","0.10069","0.00133"
"1.21200","0.10122","0.00114"
"1.21800","0.10170","0.00098"
"1.22400","0.10224","0.00091"
"1.23000","0.10272","0.00096"
"1.23600","0.10326","0.00103"
"1.24200","0.10373","0.00116"
"1.24800","0.10421","0.00127"
"1.25400","0.10469","0.00137"
"1.26000","0.10523","0.00151"
"1.26600","0.10571","0.00170"
"1.27200","0.10619","0.00197"
"1.27800","0.10672","0.00210"
"1.28400","0.10720","0.00211"
"1.29000","0.10774","0.00205"
"1.29600","0.10822","0.00195"
"1.30200","0.10870","0.00182"
"1.30800","0.10924","0.00173"
"1.31400","0.10971","0.00158"
"1.32000","0.11019","0.00153"
"1.32600","0.11073","0.00160"
"1.33200","0.11121","0.00177"
"1.33800","0.11175","0.00201"
"1.34400","0.11222","0.00209"
"1.35000","0.11276","0.00190"
"1.35600","0.11324","0.00167"
"1.36200","0.11378","0.00155"
"1.36800","0.11426","0.00152"
"1.37400","0.11480","0.00152"
"1.38000","0.11527","0.00155"
"1.38600","0.11575","0.00170"
"1.39200","0.11623","0.00179"
"1.39800","0.11677","0.00173"
"1.40400","0.11725","0.00166"
"1.41000","0.11773","0.00174"
"1.41600","0.11820","0.00191"
"1.42200","0.11874","0.00203"
"1.42800","0.11922","0.00197"
"1.43400","0.11976","0.00183"
"1.44000","0.12024","0.00166"
"1.44600","0.12077","0.00164"
"1.45200","0.12125","0.00172"
"1.45800","0.12173","0.00181"
"1.46400","0.12227","0.00184"
"1.47000","0.12275","0.00172"
"1.47600","0.12323","0.00157"
"1.48200","0.12376","0.00144"
"1.48800","0.12424","0.00133"
"1.49400","0.12478","0.00125"
"1.50000","0.12526","0.00117"
"1.50600","0.12574","0.00114"
"1.51200","0.12628","0.00118"
"1.51800","0.12675","0.00114"
"1.52400","0.12723","0.00108"
"1.53000","0.12771","0.00118"
"1.53600","0.12825","0.00129"
"1.54200","0.12873","0.00140"
"1.54800","0.12921","0.00152"
"1.55400","0.12968","0.00173"
"1.56000","0.13016","0.00188"
"1.56600","0.13064","0.00193"
"1.57200","0.13118","0.00197"
"1.57800","0.13166","0.00203"
"1.58400","0.13213","0.00208"
"1.59000","0.13267","0.00211"
"1.59600","0.13315","0.00204"
"1.60200","0.13363","0.00192"
"1.60800","0.13417","0.00176"
"1.61400","0.13471","0.00160"
"1.62000","0.13518","0.00154"
"1.62600","0.13572","0.00153"
"1.63200","0.13620","0.00153"
"1.63800","0.13668","0.00151"
"1.64400","0.13722","0.00156"
"1.65000","0.13770","0.00163"
"1.65600","0.13823","0.00172"
"1.66200","0.13871","0.00174"
"1.66800","0.13919","0.00179"
"1.67400","0.13973","0.00188"
"1.68000","0.14021","0.00195"
"1.68600","0.14068","0.00200"
"1.69200","0.14116","0.00201"
"1.69800","0.14170","0.00193"
"1.70400","0.14218","0.00171"
"1.71000","0.14266","0.00153"
"1.71600","0.14320","0.00142"
"1.72200","0.14367","0.00132"
"1.72800","0.14415","0.00130"
"1.73400","0.14469","0.00142"
"1.74000","0.14517","0.00161"
"1.74600","0.14571","0.00181"
"1.75200","0.14619","0.00204"
"1.75800","0.14672","0.00218"
"1.76400","0.14720","0.00222"
"1.77000","0.14774","0.00220"
"1.77600","0.14822","0.00215"
"1.78200","0.14876","0.00210"
"1.78800","0.14923","0.00204"
"1.79400","0.14971","0.00200"
"1.80000","0.15025","0.00186"
"1.80600","0.15073","0.00175"
"1.81200","0.15121","0.00187"
"1.81800","0.15175","0.00196"
"1.82400","0.15222","0.00192"
"1.83000","0.15270","0.00182"
"1.83600","0.15324","0.00175"
"1.84200","0.15372","0.00172"
"1.84800","0.15420","0.00171"
"1.85400","0.15468","0.00174"
"1.86000","0.15521","0.00175"
"1.86600","0.15569","0.00179"
"1.87200","0.15623","0.00181"
"1.87800","0.15671","0.00191"
"1.88400","0.15719","0.00201"
"1.89000","0.15772","0.00209"
"1.89600","0.15820","0.00219"
"1.90200","0.15874","0.00222"
"1.90800","0.15922","0.00218"
"1.91400","0.15976","0.00204"
"1.92000","0.16024","0.00197"
"1.92600","0.16071","0.00199"
"1.93200","0.16125","0.00201"
"1.93800","0.16173","0.00211"
"1.94400","0.16221","0.00212"
"1.95000","0.16275","0.00202"
"1.95600","0.16323","0.00190"
"1.96200","0.16370","0.00181"
"1.96800","0.16424","0.00172"
"1.97400","0.16472","0.00163"
"1.98000","0.16520","0.00170"
"1.98600","0.16568","0.00173"
"1.99200","0.16621","0.00170"
"1.99800","0.16669","0.00157"
"2.00400","0.16723","0.00151"
"2.01000","0.16771","0.00153"
"2.01600","0.16825","0.00158"
"2.02200","0.16873","0.00176"
"2.02800","0.16920","0.00199"
"2.03400","0.16974","0.00213"
"2.04000","0.17022","0.00207"
"2.04600","0.17070","0.00204"
"2.05200","0.17124","0.00204"
"2.05800","0.17172","0.00217"
"2.06400","0.17219","0.00234"
"2.07000","0.17273","0.00248"
"2.07600","0.17321","0.00252"
"2.08200","0.17375","0.00254"
"2.08800","0.17423","0.00257"
"2.09400","0.17471","0.00254"
"2.10000","0.17518","0.00244"
"2.10600","0.17572","0.00234"
"2.11200","0.17620","0.00230"
"2.11800","0.17668","0.00229"
"2.12400","0.17722","0.00222"
"2.13000","0.17769","0.00214"
"2.13600","0.17817","0.00222"
"2.14200","0.17865","0.00230"
"2.14800","0.17919","0.00241"
"2.15400","0.17967","0.00247"
"2.16000","0.18021","0.00245"
"2.16600","0.18068","0.00229"
"2.17200","0.18116","0.00206"
"2.17800","0.18170","0.00188"
"2.18400","0.18218","0.00197"
"2.19000","0.18266","0.00203"
"2.19600","0.18314","0.00208"
"2.20200","0.18367","0.00218"
"2.20800","0.18415","0.00232"
"2.21400","0.18463","0.00242"
"2.22000","0.18517","0.00249"
"2.22600","0.18565","0.00244"
"2.23200","0.18618","0.00227"
"2.23800","0.18666","0.00209"
"2.24400","0.18714","0.00208"
"2.25000","0.18768","0.00215"
"2.25600","0.18816","0.00211"
"2.26200","0.18870","0.00198"
"2.26800","0.18917","0.00181"
"2.27400","0.18965","0.00175"
"2.28000","0.19019","0.00165"
"2.28600","0.19067","0.00157"
"2.29200","0.19121","0.00156"
"2.29800","0.19169","0.00156"
"2.30400","0.19216","0.00159"
"2.31000","0.19270","0.00163"
"2.31600","0.19318","0.00168"
"2.32200","0.19366","0.00178"
"2.32800","0.19420","0.00187"
"2.33400","0.19467","0.00194"
"2.34000","0.19521","0.00208"
"2.34600","0.19569","0.00220"
"2.35200","0.19617","0.00230"
"2.35800","0.19671","0.00248"
"2.36400","0.19719","0.00252"
"2.37000","0.19772","0.00240"
"2.37600","0.19820","0.00218"
"2.38200","0.19868","0.00200"
"2.38800","0.19922","0.00201"
"2.39400","0.19970","0.00220"
"2.40000","0.20024","0.00238"
"2.40600","0.20071","0.00246"
"2.41200","0.20125","0.00247"
"2.41800","0.20173","0.00249"
"2.42400","0.20221","0.00253"
"2.43000","0.20275","0.00248"
"2.43600","0.20322","0.00246"
"2.44200","0.20376","0.00244"
"2.44800","0.20424","0.00250"
"2.45400","0.20472","0.00267"
"2.46000","0.20526","0.00272"
"2.46600","0.20574","0.00269"
"2.47200","0.20621","0.00262"
"2.47800","0.20669","0.00248"
"2.48400","0.20723","0.00231"
"2.49000","0.20771","0.00214"
"2.49600","0.20825","0.00209"
"2.50200","0.20873","0.00218"
"2.50800","0.20926","0.00228"
"2.51400","0.20974","0.00243"
"2.52000","0.21022","0.00260"
"2.52600","0.21076","0.00267"
"2.53200","0.21124","0.00262"
"2.53800","0.21171","0.00253"
"2.54400","0.21225","0.00244"
"2.55000","0.21273","0.00239"
"2.55600","0.21321","0.00228"
"2.56200","0.21375","0.00219"
"2.56800","0.21423","0.00223"
"2.57400","0.21470","0.00229"
"2.58000","0.21524","0.00247"
"2.58600","0.21572","0.00262"
"2.59200","0.21620","0.00269"
"2.59800","0.21674","0.00266"
"2.60400","0.21722","0.00253"
"2.61000","0.21769","0.00230"
"2.61600","0.21823","0.00214"
"2.62200","0.21871","0.00194"
"2.62800","0.21919","0.00189"
"2.63400","0.21973","0.00185"
"2.64000","0.22020","0.00186"
"2.64600","0.22074","0.00205"
"2.65200","0.22122","0.00220"
"2.65800","0.22170","0.00233"
"2.66400","0.22224","0.00249"
"2.67000","0.22272","0.00261"
"2.67600","0.22319","0.00261"
"2.68200","0.22367","0.00262"
"2.68800","0.22421","0.00264"
"2.69400","0.22469","0.00260"
"2.70000","0.22517","0.00243"
"2.70600","0.22565","0.00237"
"2.71200","0.22618","0.00229"
"2.71800","0.22666","0.00237"
"2.72400","0.22714","0.00242"
"2.73000","0.22768","0.00243"
"2.73600","0.22816","0.00241"
"2.74200","0.22864","0.00232"
"2.74800","0.22917","0.00222"
"2.75400","0.22965","0.00207"
"2.76000","0.23019","0.00208"
"2.76600","0.23067","0.00220"
"2.77200","0.23115","0.00232"
"2.77800","0.23162","0.00236"
"2.78400","0.23216","0.00240"
"2.79000","0.23264","0.00236"
"2.79600","0.23318","0.00241"
"2.80200","0.23366","0.00253"
"2.80800","0.23420","0.00258"
"2.81400","0.23467","0.00262"
"2.82000","0.23521","0.00266"
"2.82600","0.23569","0.00270"
"2.83200","0.23617","0.00266"
"2.83800","0.23671","0.00261"
"2.84400","0.23719","0.00260"
"2.85000","0.23766","0.00251"
"2.85600","0.23814","0.00237"
"2.86200","0.23868","0.00232"
"2.86800","0.23916","0.00224"
"2.87400","0.23970","0.00215"
"2.88000","0.24017","0.00213"
"2.88600","0.24071","0.00216"
"2.89200","0.24119","0.00218"
"2.89800","0.24173","0.00222"
"2.90400","0.24221","0.00229"
"2.91000","0.24275","0.00229"
"2.91600","0.24322","0.00240"
"2.92200","0.24370","0.00247"
"2.92800","0.24424","0.00248"
"2.93400","0.24472","0.00256"
"2.94000","0.24526","0.00258"
"2.94600","0.24573","0.00257"
"2.95200","0.24627","0.00254"
"2.95800","0.24675","0.00251"
"2.96400","0.24729","0.00259"
"2.97000","0.24777","0.00260"
"2.97600","0.24825","0.00262"
"2.98200","0.24872","0.00250"
"2.98800","0.24920","0.00246"
"2.99400","0.24974","0.00250"
"3.00000","0.25022","0.00263"
"3.00600","0.25070","0.00282"
"3.01200","0.25118","0.00286"
"3.01800","0.25165","0.00278"
"3.02400","0.25219","0.00269"
"3.03000","0.25267","0.00262"
"3.03600","0.25321","0.00271"
"3.04200","0.25369","0.00277"
"3.04800","0.25417","0.00280"
"3.05400","0.25470","0.00265"
"3.06000","0.25524","0.00243"
"3.06600","0.25572","0.00227"
"3.07200","0.25620","0.00219"
"3.07800","0.25674","0.00219"
"3.08400","0.25721","0.00215"
"3.09000","0.25775","0.00208"
"3.09600","0.25823","0.00199"
"3.10200","0.25871","0.00198"
"3.10800","0.25919","0.00211"
"3.11400","0.25967","0.00235"
"3.12000","0.26020","0.00254"
"3.12600","0.26068","0.00263"
"3.13200","0.26116","0.00285"
"3.13800","0.26164","0.00288"
"3.14400","0.26218","0.00281"
"3.15000","0.26266","0.00280"
"3.15600","0.26313","0.00279"
"3.16200","0.26367","0.00278"
"3.16800","0.26415","0.00290"
"3.17400","0.26463","0.00288"
"3.18000","0.26517","0.00266"
"3.18600","0.26564","0.00242"
"3.19200","0.26612","0.00224"
"3.19800","0.26666","0.00224"
"3.20400","0.26714","0.00234"
"3.21000","0.26768","0.00235"
"3.21600","0.26816","0.00233"
"3.22200","0.26869","0.00235"
"3.22800","0.26917","0.00235"
"3.23400","0.26971","0.00242"
"3.24000","0.27019","0.00241"
"3.24600","0.27067","0.00239"
"3.25200","0.27121","0.00234"
"3.25800","0.27168","0.00213"
"3.26400","0.27216","0.00190"
"3.27000","0.27264","0.00192"
"3.27600","0.27318","0.00200"
"3.28200","0.27366","0.00205"
"3.28800","0.27413","0.00220"
"3.29400","0.27461","0.00226"
"3.30000","0.27515","0.00233"
"3.30600","0.27563","0.00242"
"3.31200","0.27611","0.00243"
"3.31800","0.27659","0.00244"
"3.32400","0.27712","0.00246"
"3.33000","0.27760","0.00258"
"3.33600","0.27814","0.00274"
"3.34200","0.27862","0.00295"
"3.34800","0.27916","0.00311"
"3.35400","0.27964","0.00316"
"3.36000","0.28017","0.00305"
"3.36600","0.28065","0.00284"
"3.37200","0.28119","0.00270"
"3.37800","0.28167","0.00268"
"3.38400","0.28215","0.00278"
"3.39000","0.28268","0.00276"
"3.39600","0.28316","0.00277"
"3.40200","0.28364","0.00285"
"3.40800","0.28418","0.00290"
"3.41400","0.28466","0.00293"
"3.42000","0.28514","0.00301"
"3.42600","0.28567","0.00312"
"3.43200","0.28615","0.00323"
"3.43800","0.28669","0.00311"
"3.44400","0.28717","0.00287"
"3.45000","0.28771","0.00279"
"3.45600","0.28819","0.00279"
"3.46200","0.28866","0.00279"
"3.46800","0.28920","0.00289"
"3.47400","0.28968","0.00300"
"3.48000","0.29022","0.00303"
"3.48600","0.29070","0.00298"
"3.49200","0.29123","0.00295"
"3.49800","0.29171","0.00297"
"3.50400","0.29225","0.00308"
"3.51000","0.29273","0.00311"
"3.51600","0.29327","0.00320"
"3.52200","0.29375","0.00321"
"3.52800","0.29428","0.00320"
"3.53400","0.29476","0.00315"
"3.54000","0.29524","0.00317"
"3.54600","0.29572","0.00305"
"3.55200","0.29620","0.00295"
"3.55800","0.29674","0.00287"
"3.56400","0.29721","0.00265"
"3.57000","0.29769","0.00251"
"3.57600","0.29823","0.00244"
"3.58200","0.29871","0.00244"
"3.58800","0.29919","0.00257"
"3.59400","0.29972","0.00281"
"3.60000","0.30020","0.00306"
"3.60600","0.30074","0.00316"
"3.61200","0.30122","0.00315"
"3.61800","0.30170","0.00304"
"3.62400","0.30224","0.00282"
"3.63000","0.30271","0.00263"
"3.63600","0.30325","0.00261"
"3.64200","0.30373","0.00263"
"3.64800","0.30427","0.00264"
"3.65400","0.30475","0.00267"
"3.66000","0.30523","0.00259"
"3.66600","0.30576","0.00270"
"3.67200","0.30624","0.00293"
"3.67800","0.30672","0.00309"
"3.68400","0.30720","0.00314"
"3.69000","0.30774","0.00305"
"3.69600","0.30822","0.00287"
"3.70200","0.30869","0.00278"
"3.70800","0.30917","0.00267"
"3.71400","0.30965","0.00257"
"3.72000","0.31019","0.00257"
"3.72600","0.31067","0.00261"
"3.73200","0.31114","0.00264"
"3.73800","0.31168","0.00267"
"3.74400","0.31216","0.00264"
"3.75000","0.31264","0.00261"
"3.75600","0.31318","0.00276"
"3.76200","0.31366","0.00296"
"3.76800","0.31413","0.00313"
"3.77400","0.31467","0.00312"
"3.78000","0.31515","0.00310"
"3.78600","0.31569","0.00308"
"3.79200","0.31623","0.00291"
"3.79800","0.31671","0.00271"
"3.80400","0.31724","0.00259"
"3.81000","0.31772","0.00257"
"3.81600","0.31820","0.00261"
"3.82200","0.31868","0.00272"
"3.82800","0.31922","0.00282"
"3.83400","0.31969","0.00283"
"3.84000","0.32017","0.00284"
"3.84600","0.32065","0.00299"
"3.85200","0.32119","0.00320"
"3.85800","0.32167","0.00345"
"3.86400","0.32215","0.00354"
"3.87000","0.32262","0.00351"
"3.87600","0.32316","0.00344"
"3.88200","0.32364","0.00335"
"3.88800","0.32412","0.00332"
"3.89400","0.32466","0.00333"
"3.90000","0.32514","0.00335"
"3.90600","0.32567","0.00342"
"3.91200","0.32621","0.00350"
"3.91800","0.32669","0.00349"
"3.92400","0.32723","0.00338"
"3.93000","0.32771","0.00321"
"3.93600","0.32824","0.00311"
"3.94200","0.32872","0.00303"
"3.94800","0.32926","0.00291"
"3.95400","0.32974","0.00269"
"3.96000","0.33022","0.00263"
"3.96600","0.33076","0.00277"
"3.97200","0.33123","0.00294"
"3.97800","0.33171","0.00304"
"3.98400","0.33219","0.00320"
"3.99000","0.33273","0.00321"
"3.99600","0.33321","0.00308"
"4.00200","0.33369","0.00301"
"4.00800","0.33422","0.00294"
"4.01400","0.33470","0.00286"
"4.02000","0.33524","0.00279"
"4.02600","0.33572","0.00275"
"4.03200","0.33620","0.00273"
"4.03800","0.33673","0.00272"
"4.04400","0.33721","0.00276"
"4.05000","0.33769","0.00281"
"4.05600","0.33823","0.00276"
"4.06200","0.33871","0.00279"
"4.06800","0.33925","0.00291"
"4.07400","0.33972","0.00292"
"4.08000","0.34026","0.00286"
"4.08600","0.34074","0.00277"
"4.09200","0.34128","0.00270"
"4.09800","0.34176","0.00258"
"4.10400","0.34224","0.00258"
"4.11000","0.34277","0.00269"
"4.11600","0.34325","0.00288"
"4.12200","0.34373","0.00305"
"4.12800","0.34421","0.00302"
"4.13400","0.34475","0.00300"
"4.14000","0.34522","0.00297"
"4.14600","0.34576","0.00296"
"4.15200","0.34624","0.00306"
"4.15800","0.34672","0.00307"
"4.16400","0.34726","0.00294"
"4.17000","0.34774","0.00283"
"4.17600","0.34821","0.00275"
"4.18200","0.34875","0.00265"
"4.18800","0.34923","0.00256"
"4.19400","0.34971","0.00267"
"4.20000","0.35019","0.00291"
"4.20600","0.35073","0.00307"
"4.21200","0.35120","0.00317"
"4.21800","0.35174","0.00325"
"4.22400","0.35222","0.00330"
"4.23000","0.35270","0.00329"
"4.23600","0.35324","0.00328"
"4.24200","0.35371","0.00326"
"4.24800","0.35419","0.00321"
"4.25400","0.35473","0.00323"
"4.26000","0.35521","0.00326"
"4.26600","0.35569","0.00314"
"4.27200","0.35623","0.00295"
"4.27800","0.35670","0.00286"
"4.28400","0.35718","0.00284"
"4.29000","0.35772","0.00282"
"4.29600","0.35820","0.00276"
"4.30200","0.35868","0.00270"
"4.30800","0.35916","0.00270"
"4.31400","0.35963","0.00270"
"4.32000","0.36011","0.00267"
"4.32600","0.36065","0.00277"
"4.33200","0.36113","0.00291"
"4.33800","0.36167","0.00299"
"4.34400","0.36215","0.00299"
"4.35000","0.36262","0.00299"
"4.35600","0.36316","0.00295"
"4.36200","0.36364","0.00296"
"4.36800","0.36412","0.00308"
"4.37400","0.36466","0.00312"
"4.38000","0.36513","0.00301"
"4.38600","0.36561","0.00297"
"4.39200","0.36615","0.00301"
"4.39800","0.36663","0.00303"
"4.40400","0.36711","0.00323"
"4.41000","0.36765","0.00332"
"4.41600","0.36812","0.00328"
"4.42200","0.36860","0.00321"
"4.42800","0.36914","0.00309"
"4.43400","0.36962","0.00302"
"4.44000","0.37016","0.00295"
"4.44600","0.37064","0.00296"
"4.45200","0.37117","0.00299"
"4.45800","0.37165","0.00298"
"4.46400","0.37213","0.00288"
"4.47000","0.37267","0.00281"
"4.47600","0.37315","0.00289"
"4.48200","0.37368","0.00303"
"4.48800","0.37416","0.00305"
"4.49400","0.37470","0.00305"
"4.50000","0.37518","0.00317"
"4.50600","0.37572","0.00319"
"4.51200","0.37620","0.00320"
"4.51800","0.37673","0.00331"
"4.52400","0.37721","0.00344"
"4.53000","0.37769","0.00345"
"4.53600","0.37823","0.00347"
"4.54200","0.37871","0.00341"
"4.54800","0.37925","0.00322"
"4.55400","0.37972","0.00300"
"4.56000","0.38026","0.00294"
"4.56600","0.38074","0.00307"
"4.57200","0.38128","0.00318"
"4.57800","0.38176","0.00326"
"4.58400","0.38229","0.00339"
"4.59000","0.38277","0.00349"
"4.59600","0.38325","0.00345"
"4.60200","0.38379","0.00343"
"4.60800","0.38427","0.00343"
"4.61400","0.38475","0.00347"
"4.62000","0.38522","0.00359"
"4.62600","0.38570","0.00365"
"4.63200","0.38624","0.00362"
"4.63800","0.38672","0.00353"
"4.64400","0.38720","0.00333"
"4.65000","0.38774","0.00314"
"4.65600","0.38821","0.00298"
"4.66200","0.38869","0.00294"
"4.66800","0.38917","0.00296"
"4.67400","0.38971","0.00287"
"4.68000","0.39019","0.00270"
"4.68600","0.39072","0.00257"
"4.69200","0.39120","0.00254"
"4.69800","0.39168","0.00254"
"4.70400","0.39222","0.00258"
"4.71000","0.39270","0.00264"
"4.71600","0.39324","0.00276"
"4.72200","0.39371","0.00289"
"4.72800","0.39419","0.00291"
"4.73400","0.39473","0.00308"
"4.74000","0.39521","0.00327"
"4.74600","0.39569","0.00327"
"4.75200","0.39617","0.00335"
"4.75800","0.39664","0.00338"
"4.76400","0.39718","0.00327"
"4.77000","0.39766","0.00310"
"4.77600","0.39814","0.00309"
"4.78200","0.39868","0.00323"
"4.78800","0.39915","0.00342"
"4.79400","0.39969","0.00356"
"4.80000","0.40017","0.00368"
"4.80600","0.40071","0.00377"
"4.81200","0.40119","0.00375"
"4.81800","0.40167","0.00360"
"4.82400","0.40220","0.00335"
"4.83000","0.40268","0.00318"
"4.83600","0.40316","0.00314"
"4.84200","0.40370","0.00316"
"4.84800","0.40418","0.00321"
"4.85400","0.40466","0.00326"
"4.86000","0.40519","0.00326"
"4.86600","0.40567","0.00331"
"4.87200","0.40615","0.00336"
"4.87800","0.40669","0.00348"
"4.88400","0.40717","0.00363"
"4.89000","0.40765","0.00367"
"4.89600","0.40812","0.00356"
"4.90200","0.40866","0.00343"
